SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
HAWK-540,Cal,33.56420135,-117.564003,20348729,174.69,440.93,17.89,53.4771
HAWK-543,Cal,33.10499954,-116.8929977,20330882,355.11,446.32,16.73,17.5851
HAWK-55,Cal,42.93330002,-111.3799973,23148814,2237.98,760.59,3.96,2.0763
HAWK-56,Cal,42.47159958,-111.4850006,4472031,2128.62,831.2,4.15,12.7998
HAWK-57,Cal,39.24399948,-107.6780014,3180774,2606.75,750.5,3.05,143.0928
HAWK-58,Cal,39.88999939,-107.3239975,1344618,3258.94,1122.4,0.88,16.0596
HAWK-59,Cal,39.85250092,-107.3150024,1344748,2932.71,982.27,1.32,7.3782
HAWK-6,Cal,36.10329819,-105.487999,17864924,2821.86,1025.9,3.15,25.1712
HAWK-60,Cal,39.69430161,-107.586998,3175056,2364.16,756.62,4.17,76.0041
HAWK-61,Cal,40.91500092,-106.8789978,18280019,2672.86,1122.73,2.44,45.4671
HAWK-63,Cal,33.23040009,-108.2679977,2430292,1846.98,619.12,9.18,282.933
HAWK-67,Cal,33.23960114,-108.8799973,21358629,1560.27,526.73,9.38,4285.3761
HAWK-68,Cal,33.07989883,-108.4789963,2430608,1618.86,522.28,9.64,4642.4601
HAWK-69,Cal,33.37820053,-108.5690002,2429964,2599.02,941.83,6.7,26.1756
HAWK-7,Cal,35.92369843,-105.8610001,17866774,2547.72,782.54,4.71,51.9462
HAWK-70,Cal,33.47909927,-109.4769974,21321687,1729,594.83,10.21,267.102
HAWK-71,Cal,33.32559967,-109.189003,21355585,1356.35,582.28,10.08,1259.9046
HAWK-72,Cal,33.73880005,-109.0889969,21351807,2110.07,619.97,7.49,157.7754
HAWK-73,Cal,33.96860123,-109.0830002,20586710,2696.86,670.62,5.68,10.9773
HAWK-74,Cal,34.01060104,-109.2789993,20585396,2620.65,656.98,5.99,14.5521
HAWK-75,Cal,33.95769882,-109.5179977,20587036,2906.82,943.69,4.15,17.1207
HAWK-76,Cal,36.07799911,-108.9229965,1411709,2472.9,596.63,6.9,30.6738
HAWK-77,Cal,36.15200043,-109.0169983,1409871,2341.11,545.45,7.31,10.8549
HAWK-78,Cal,36.45299911,-109.1549988,1408989,2550.46,551.21,7.02,18.3222
HAWK-79,Cal,36.34550095,-109.1110001,1409323,2393.18,603.85,6.87,59.3325
HAWK-80,Cal,36.27180099,-109.0370026,1409525,2600.51,595.95,6.82,36.531
HAWK-82,Cal,35.92350006,-106.7949982,17826076,2500.29,735.21,4.83,216.7731
HAWK-83,Cal,36.0984993,-106.7289963,17848136,2600.53,841.52,5.03,45.1071
HAWK-85,Cal,38.09949875,-111.8889999,10806661,2402.24,624.88,3.8,230.6268
HAWK-86,Cal,37.79719925,-111.413002,3277833,1749.17,265.85,10.37,24.8508
HAWK-87,Cal,38.00469971,-111.4629974,3276997,2691.75,659.55,2.16,64.7199
HAWK-88,Cal,38.10269928,-111.3420029,4901115,3070.4,613.18,2,40.9671
