SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
WCAP99-R026,6.21,0.25,0,0.033,0.117,0.261,0.149,32,121,74,18,0.12,1.37,0.28,0,10.1614,4125,0.9478,0.0611,0,0.125,65,N,237873.4,205.5,210,REF,41.84996,-124.0333
WCAP99-R029,3.36,0.13,0,0.033,0.121,0.261,0.15,37,119,77,28,0.13,1.29,0.28,86.6,10.1564,3226,1,0.0138,0,0.0404,204,N,220573.1,216.3,211,REF,41.8082,-124.11217
WCAP99-R036,3.36,0.13,0,0.034,0.229,0.277,0.195,-18.2,97.5,62,-2,0.1203,1.3711,0.2779,2.6,7.8375,4050,0.7245,0.0654,20670,0.0664,37,N,205594.6,783.3,273,REF,40.15931,-123.39998
WCAP99-R037,4.5,0.17,0,0.033,0.095,0.278,0.144,-32.4,122.9,62.3,21,0.1072,1.3783,0.231,0,8.0058,2834,0.6517,0.0418,55237,0.1669,61,N,218441.9,1084.7,226,REF,41.01792,-123.59296
WCAP99-R046,3.13,0.15,0,0.034,0.289,0.258,0.209,4,113,65,11,0.11,1.4,0.32,111.9,9.0033,4112,0.8571,0.0339,0,0.1571,58,N,221539.8,523.1,274,REF,39.74043,-123.63113
WCAP99-R047,3.13,0.15,0,0.034,0.293,0.256,0.209,1.7,124,65,11,0.11,1.4,0.32,95.8,8.8614,4475,0.9406,0.0572,0,0.1517,136,N,239704.8,703.8,274,REF,39.7297,-123.63241
WCAP99-R052,6.61,0.2,0,0.031,0.052,0.275,0.124,-50.8,101.7,62.2,-27,0.0742,1.4238,0.1961,0,6.8022,3095,0.7634,0.0526,75496,0.1834,52,N,143116.4,2026,239,REF,41.31775,-123.06015
WCAP99-R062,5.51,0.15,0,0.031,0.056,0.276,0.126,-7.4,100,56.2,-40,0.0768,1.3476,0.15,35.1,6.7548,2902,0.5838,0.031,122558,0.1474,50,N,139929.2,2022.5,240,REF,41.14126,-122.80079
WCAP99-R077,1.2,0.14,0,0.035,0.214,0.278,0.191,22.2,101.5,70,33,0.13,1.3395,0.3196,97.1,9.5602,3812,0.9811,0.0537,0,0.1169,39,N,197621.3,90.2,203,REF,40.29498,-123.90582
WCAP99-R082,3.85,0.17,0,0.034,0.316,0.242,0.211,28.2,93.6,67.2,33,0.13,1.3585,0.32,103.3,9.5192,4204,0.9308,0.0041,0,0.0578,31,N,146036.2,578.2,246,REF,39.39374,-123.68561
WCAP99-R092,3.44,0.12,0,0.033,0.112,0.27,0.149,33,113,76,29,0.16,1.32,0.28,103.5,10.0825,3800,0.9751,0.0356,0,0.0363,45,N,185557.9,693.6,224,REF,41.40352,-124.06346
WCOP03-R005,5.92,0.12,0.0024,0.226,0.051,0.932,0.574,-167.1,88.3,50.4,-141,0.08,1.4538,0.2325,93.7,4.6279,2283,0.8345,0,3489,0.1167,16,N,52486.1,3814.7,203,REF,38.43661,-106.37284
WCOP03-R009,6.77,0.27,0.983,0.229,0.054,0.846,0.57,-164.9,112.5,47.9,-136,0.099,1.3957,0.2167,12.2,5.0488,1900,0.5338,0,13939,0.1725,34,N,85111.6,6111.3,219,REF,37.48066,-107.09801
